compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
1-Octadecene [M+NH4]+,1-Octadecene,,C18H36,C18H40N,ammoniated,270.3155241545
1-Octadecene [M+Na]+,1-Octadecene,,C18H36,C18H36Na,sodiated,275.2714701545
1-Octadecene [M+K]+,1-Octadecene,,C18H36,C18H36K,potassiated,291.2454081545
1-Octadecene [2M+H]+,1-Octadecene,,C36H72,C36H73,dimer_protonated,504.5634023090
Palmitic acid - H2O [M+H]+,Palmitic acid - H2O,,C16H30O,C16H31O,protonated,239.2374905817
Palmitic acid - H2O [M+NH4]+,Palmitic acid - H2O,,C16H30O,C16H34NO,ammoniated,256.2634885817
Palmitic acid - H2O [M+Na]+,Palmitic acid - H2O,,C16H30O,C16H30NaO,sodiated,261.2194345817
Palmitic acid - H2O [M+K]+,Palmitic acid - H2O,,C16H30O,C16H30KO,potassiated,277.1933725817
Palmitic acid - H2O [2M+H]+,Palmitic acid - H2O,,C32H60O2,C32H61O2,dimer_protonated,476.4593311633
Palmitic acid [M+H]+,Palmitic acid,,C16H32O2,C16H33O2,protonated,257.2480552654
Palmitic acid [M+NH4]+,Palmitic acid,,C16H32O2,C16H36NO2,ammoniated,274.2740532654
Palmitic acid [M+Na]+,Palmitic acid,,C16H32O2,C16H32NaO2,sodiated,279.2299992654
Palmitic acid [M+K]+,Palmitic acid,,C16H32O2,C16H32KO2,potassiated,295.2039372654
Palmitic acid [2M+H]+,Palmitic acid,,C16H32O2,C32H65O4,dimer_protonated,256.2402302654
Palmitic acid [M-H2O+H]+,Palmitic acid,,C16H32O2,C16H31O,dehydrated_protonated,256.2402302654
Palmitic acid [M-CO2+H]+,Palmitic acid,,C16H32O2,C15H33,decarboxylated_protonated,256.2402302654
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H12PSe,protonated,266.9841832828
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,74Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H12PSe,protonated,266.9841832828
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,76Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H12PSe,protonated,266.9841832828
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,77Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H12PSe,protonated,266.9841832828
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,78Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H12PSe,protonated,266.9841832828
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,80Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H12PSe,protonated,266.9841832828
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H15NPSe,ammoniated,284.0101812828
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H11NaPSe,sodiated,288.9661272828
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H11KPSe,potassiated,304.9400652828
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,82Se,C24H22PSe2,C24H23PSe2,dimer_protonated,500.9789549355
Linoleic acid [M+H]+,Linoleic acid,,C18H32O2,C18H35O2,protonated,281.2480552654
Linoleic acid [M+NH4]+,Linoleic acid,,C18H32O2,C18H38NO2,ammoniated,298.2740532654
Linoleic acid [M+Na]+,Linoleic acid,,C18H32O2,C18H34NaO2,sodiated,303.2299992654
Linoleic acid [M+K]+,Linoleic acid,,C18H32O2,C18H34KO2,potassiated,319.2039372654
Linoleic acid [2M+H]+,Linoleic acid,,C18H32O2,C36H69O4,dimer_protonated,280.2402302654
Linoleic acid [M-H2O+H]+,Linoleic acid,,C18H32O2,C18H33O,dehydrated_protonated,280.2402302654
Linoleic acid [M-CO2+H]+,Linoleic acid,,C18H32O2,C17H35,decarboxylated_protonated,280.2402302654
Oleic acid - H2O [M+H]+,Oleic acid - H2O,,C18H32O,C18H33O,protonated,265.2531406458
Oleic acid - H2O [M+NH4]+,Oleic acid - H2O,,C18H32O,C18H36NO,ammoniated,282.2791386458
Oleic acid - H2O [M+Na]+,Oleic acid - H2O,,C18H32O,C18H32NaO,sodiated,287.2350846458
Oleic acid - H2O [M+K]+,Oleic acid - H2O,,C18H32O,C18H32KO,potassiated,303.2090226458
Oleic acid - H2O [2M+H]+,Oleic acid - H2O,,C36H64O2,C36H65O2,dimer_protonated,528.4906312916
Linoleic acid - H2O [M+H]+,Linoleic acid - H2O,,C18H30O,C18H31O,protonated,263.2374905817
Linoleic acid - H2O [M+NH4]+,Linoleic acid - H2O,,C18H30O,C18H34NO,ammoniated,280.2634885817
Linoleic acid - H2O [M+Na]+,Linoleic acid - H2O,,C18H30O,C18H30NaO,sodiated,285.2194345817
