compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
3-MPTMS [M+H]+,3-MPTMS,,C6H16O3SSi,C6H17O3SSi,protonated,197.34790891955095
3-MPTMS [M+NH4]+,3-MPTMS,,C6H16O3SSi,C6H20NO3SSi,ammoniated,214.3784343930502
3-MPTMS [M+Na]+,3-MPTMS,,C6H16O3SSi,C6H16NaO3SSi,sodiated,219.32973744655519
3-MPTMS [M+K]+,3-MPTMS,,C6H16O3SSi,C6H16KO3SSi,potassiated,235.43826929011794
3-MPTMS [2M+H]+,3-MPTMS,,C12H32O6S2Si2,C12H33O6S2Si2,dimer_protonated,393.68787708520614
Diphenylphosphinic acid [M+H]+,Diphenylphosphinic acid,,C12H11O2P,C12H12O2P,protonated,219.19669129218357
Diphenylphosphinic acid [M+NH4]+,Diphenylphosphinic acid,,C12H11O2P,C12H15NO2P,ammoniated,236.22721676568278
Diphenylphosphinic acid [M+Na]+,Diphenylphosphinic acid,,C12H11O2P,C12H11NaO2P,sodiated,241.17851981918778
Diphenylphosphinic acid [M+K]+,Diphenylphosphinic acid,,C12H11O2P,C12H11KO2P,potassiated,257.2870516627505
Diphenylphosphinic acid [2M+H]+,Diphenylphosphinic acid,,C24H22O4P2,C24H23O4P2,dimer_protonated,437.38544183047134
Lead oxide [M+H]+,Lead oxide,204Pb,PbO,HOPb,protonated,220.98038928102625
Lead oxide [M+NH4]+,Lead oxide,204Pb,PbO,H4NOPb,ammoniated,238.0109147545255
Lead oxide [M+Na]+,Lead oxide,204Pb,PbO,NaOPb,sodiated,242.9622178080305
Lead oxide [M+K]+,Lead oxide,204Pb,PbO,KOPb,potassiated,259.07074965159325
Lead oxide [2M+H]+,Lead oxide,204Pb,O2Pb2,HO2Pb2,dimer_protonated,440.9528378081567
Lead hydroxide [M+H]+,Lead hydroxide,204Pb,PbOH2,H3OPb,protonated,222.99627078881775
Lead hydroxide [M+NH4]+,Lead hydroxide,204Pb,PbOH2,H6NOPb,ammoniated,240.02679626231702
Lead hydroxide [M+Na]+,Lead hydroxide,204Pb,PbOH2,H2NaOPb,sodiated,244.978099315822
Lead hydroxide [M+K]+,Lead hydroxide,204Pb,PbOH2,H2KOPb,potassiated,261.08663115938475
Lead hydroxide [2M+H]+,Lead hydroxide,204Pb,H4O2Pb2,H5O2Pb2,dimer_protonated,444.98460082373975
PBG [M+H]+,PBG,,C14H17NO2,C14H18NO2,protonated,232.298749190899
PBG [M+NH4]+,PBG,,C14H17NO2,C14H21N2O2,ammoniated,249.32927466439827
PBG [M+Na]+,PBG,,C14H17NO2,C14H17NNaO2,sodiated,254.28057771790324
PBG [M+K]+,PBG,,C14H17NO2,C14H17KNO2,potassiated,270.389109561466
PBG [2M+H]+,PBG,,C28H34N2O4,C28H35N2O4,dimer_protonated,463.58955762790225
WPBG-027 [M+H]+,WPBG-027,,C14H17NO2,C14H18NO2,protonated,232.298749190899
WPBG-027 [M+NH4]+,WPBG-027,,C14H17NO2,C14H21N2O2,ammoniated,249.32927466439827
WPBG-027 [M+Na]+,WPBG-027,,C14H17NO2,C14H17NNaO2,sodiated,254.28057771790324
WPBG-027 [M+K]+,WPBG-027,,C14H17NO2,C14H17KNO2,potassiated,270.389109561466
WPBG-027 [2M+H]+,WPBG-027,,C28H34N2O4,C28H35N2O4,dimer_protonated,463.58955762790225
TBA+ [M+H]+,TBA+,,C16H36N,C16H37N,protonated,243.4722854541864
TBA+ [M+NH4]+,TBA+,,C16H36N,C16H40N2,ammoniated,260.50281092768563
TBA+ [M+Na]+,TBA+,,C16H36N,C16H36NNa,sodiated,265.45411398119063
TBA+ [M+K]+,TBA+,,C16H36N,C16H36KN,potassiated,281.56264582475336
TBA+ [2M+H]+,TBA+,,C32H72N2,C32H73N2,dimer_protonated,485.93663015447703
1-Octadecene [M+H]+,1-Octadecene,,C18H36,C18H37,protonated,253.48705403590333
1-Octadecene [M+NH4]+,1-Octadecene,,C18H36,C18H40N,ammoniated,270.51757950940254
1-Octadecene [M+Na]+,1-Octadecene,,C18H36,C18H36Na,sodiated,275.4688825629076
1-Octadecene [M+K]+,1-Octadecene,,C18H36,C18H36K,potassiated,291.5774144064703
1-Octadecene [2M+H]+,1-Octadecene,,C36H72,C36H73,dimer_protonated,505.9661673179109
Palmitic acid - H2O [M+H]+,Palmitic acid - H2O,,C16H30O,C16H31O,protonated,239.41734264613032
Palmitic acid - H2O [M+NH4]+,Palmitic acid - H2O,,C16H30O,C16H34NO,ammoniated,256.4478681196296
Palmitic acid - H2O [M+Na]+,Palmitic acid - H2O,,C16H30O,C16H30NaO,sodiated,261.39917117313456
Palmitic acid - H2O [M+K]+,Palmitic acid - H2O,,C16H30O,C16H30KO,potassiated,277.5077030166973
Palmitic acid - H2O [2M+H]+,Palmitic acid - H2O,,C32H60O2,C32H61O2,dimer_protonated,477.8267445383649
Palmitic acid [M+H]+,Palmitic acid,,C16H32O2,C16H33O2,protonated,257.4326290810523
Palmitic acid [M+NH4]+,Palmitic acid,,C16H32O2,C16H36NO2,ammoniated,274.4631545545516
Palmitic acid [M+Na]+,Palmitic acid,,C16H32O2,C16H32NaO2,sodiated,279.4144576080565
Palmitic acid [M+K]+,Palmitic acid,,C16H32O2,C16H32KO2,potassiated,295.5229894516193
Palmitic acid [2M+H]+,Palmitic acid,,C32H64O4,C32H65O4,dimer_protonated,513.8573174082088
Palmitic acid [M-H2O+H]+,Palmitic acid,,C16H30O,C16H31O,dehydrated_protonated,239.41734264613032
Palmitic acid [M-CO2+H]+,Palmitic acid,,C15H32,C15H33,decarboxylated_protonated,213.4230833300269
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H12PSe,protonated,261.1203578379226
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H15NPSe,ammoniated,278.15088331142186
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H11NaPSe,sodiated,283.1021863649268
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,74Se,C12H11PSe,C12H11KPSe,potassiated,299.2107182084896
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,74Se,C24H22PSe2,C24H23PSe2,dimer_protonated,490.2590132919495
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H12PSe,protonated,263.1170950379226
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H15NPSe,ammoniated,280.1476205114219
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11NaPSe,sodiated,285.09892356492685
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,76Se,C12H11PSe,C12H11KPSe,potassiated,301.20745540848964
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,76Se,C24H22PSe2,C24H23PSe2,dimer_protonated,494.2524876919495
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H12PSe,protonated,264.1177954379226
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H15NPSe,ammoniated,281.1483209114219
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11NaPSe,sodiated,286.0996239649268
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,77Se,C12H11PSe,C12H11KPSe,potassiated,302.2081558084896
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,77Se,C24H22PSe2,C24H23PSe2,dimer_protonated,496.2538884919495
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H12PSe,protonated,265.1151905379226
