scan_number,compound,theoretical_mz,observed_mz,mz_difference,tolerance_used,intensity,sn_ratio,mass_type,molecular_formula
8,Quinoline [M+H]+,130.06567426136002,130.0541,0.011574261360010496,0.02,1783.0,73.4,protonated,C9H7N
8,Quinoline [M+H]+,130.06567426136002,130.0828,0.017125738639975907,0.02,2489.0,102.5,protonated,C9H7N
8,Lead stearate [M+H]+,150.1130183766,150.1146,0.0015816233999998985,0.01,4486.0,181.2,protonated,C6H15NO3
8,Triethanolamine [M+H]+,150.11301899999998,150.1146,0.0015810000000158198,0.01,4486.0,181.2,protonated,C6H15NO3
8,Quinoline [M+Na]+,152.047619,152.0288,0.01881900000000769,0.02,423.0,17.0,sodium_adduct,C9H7N
8,Quinoline [M+Na]+,152.047619,152.0666,0.018980999999996584,0.02,795.0,31.9,sodium_adduct,C9H7N
8,WPBG-027 fragment [M+H]+,164.071154,164.0714,0.0002460000000041873,0.01,3036.0,119.9,protonated,C9H9NO2
8,Diphenylphosphine [M+H]+,187.06766201484,187.0566,0.01106201484000735,0.02,1215.0,45.4,protonated,C12H11P
8,3-MPTMS [M+H]+,209.06676693637,209.0779,0.01113306363001243,0.02,1214.0,41.8,protonated,C7H16O3SSi
8,PBG [M+H]+,232.13375382118,232.1488,0.015046178820000478,0.02,1847.0,57.0,protonated,C14H17NO2
8,WPBG-027 [M+H]+,232.13375382118,232.1488,0.015046178820000478,0.02,1847.0,57.0,protonated,C14H17NO2
8,1-Octadecene [M+H]+,253.289525,253.277,0.012525000000010778,0.02,372.0,10.2,protonated,C18H36
8,Linoleic acid [M+Na]+,305.24565,305.2335,0.012150000000019645,0.02,1740.0,33.9,sodium_adduct,C18H34O2
8,Oleic acid [M+Na]+,305.24565,305.2335,0.012150000000019645,0.02,1740.0,33.9,sodium_adduct,C18H34O2
8,Stearic acid [M+Na]+,307.2613,307.2529,0.008399999999994634,0.01,1524.0,29.4,sodium_adduct,C18H36O2
8,Lead acetate [M+H]+,327.01108700000003,326.9954,0.015687000000013995,0.02,6411.0,112.9,protonated,PbC4H6O4
8,TOPO [M+H]+,387.3755779172,387.3596,0.01597791720001851,0.02,1708.0,27.6,protonated,C24H51OP
9,DMSO [M+H]+,79.02176084405,79.0166,0.005160844049996172,0.01,1906.0,79.6,protonated,C2H6OS
